category_path,code,article,name,unit,available,reserved,expected,stock,cost_price,cost_amount,sale_price,sale_amount,margin_percent,source_page
3.Сопутствующие товары 5%,00177165698918,,Шар сердце,шт,55.00,8.00,0.00,63.00,66.10,4164.30,350.00,22050.00,85.73,1
3.Сопутствующие товары 5%,00177165698968,,упаковка крафт для тюльпанов,шт,279.00,0.00,0.00,279.00,13.23,3692.16,35.00,9765.00,95.02,1
3.Сопутствующие товары 5%,00177165698969,,упаковка для тюльпанов цветочная,шт,110.00,0.00,0.00,110.00,29.13,3204.57,220.00,24200.00,95.02,1
3.Сопутствующие товары 5%,00177165699035,,поддон для оазиса,шт,50.00,0.00,0.00,50.00,48.81,2440.29,110.00,5500.00,7.90,1
3.Сопутствующие товары 5%,00177165698902,,пластиковый бокс прозрачный,шт,9.00,0.00,0.00,9.00,1363.80,12274.23,2990.00,26910.00,95.02,1
3.Сопутствующие товары 5%,00177165699042,,пакет конус,шт,53.00,0.00,0.00,53.00,75.63,4008.33,170.00,9010.00,7.90,1
3.Сопутствующие товары 5%,00177165698892,,пакет для ведер,шт,50.00,0.00,0.00,50.00,45.21,2260.28,100.00,5000.00,95.02,1
3.Сопутствующие товары 5%,00177165698955,,Луна стойка,шт,24.00,0.00,0.00,24.00,300.00,7200.00,650.00,15600.00,80.00,1
3.Сопутствующие товары 5%,00177165698956,,Луна из форекса,шт,10.00,0.00,0.00,10.00,250.00,2500.00,550.00,5500.00,80.00,1
3.Сопутствующие товары 5%,00177165698945,,коробка бренд 31 см,шт,31.00,1.00,0.00,32.00,310.00,9920.00,690.00,22080.00,84.71,1
3.Сопутствующие товары 5%,00177165698901,,корзина кружево,шт,32.00,0.00,0.00,32.00,255.16,8165.14,560.00,17920.00,95.02,1
3.Сопутствующие товары 5%,00170,,Конверт крафт,шт,68.00,0.00,0.00,68.00,18.04,1226.97,50.00,3400.00,95.02,1
3.Сопутствующие товары 5%,00169,,Конверт,шт,35.00,0.00,0.00,35.00,10.00,350.00,20.00,700.00,148.72,1
3.Сопутствующие товары 5%,00177030,,Клипсы *бутоньерка,шт,-2.00,1.00,0.00,-1.00,0.00,0.00,50.00,-50.00,0.00,1
3.Сопутствующие товары 5%,00177165698900,,каркас полумесяц,шт,11.00,0.00,0.00,11.00,740.03,8140.36,1625.00,17875.00,95.02,1
3.Сопутствующие товары 5%,00177165698898,,ведро,шт,20.00,0.00,0.00,20.00,274.95,5499.01,605.00,12100.00,95.02,1
3.Сопутствующие товары 5%,00177165699036,,вазы цветочные (набор),шт,2.00,0.00,0.00,2.00,2010.72,4021.44,3900.00,7800.00,7.90,1
3.Сопутствующие товары 5%,00177165698907,,ваза цветочная,шт,1.00,0.00,0.00,1.00,1231.60,1231.60,2700.00,2700.00,95.02,1
3.Сопутствующие товары 5%,00177165698905,,ваза розовая,шт,9.00,0.00,0.00,9.00,1401.65,12614.89,2950.00,26550.00,7.90,1
3.Сопутствующие товары 5%,00177165698908,,ваза радужная,шт,1.00,0.00,0.00,1.00,2574.21,2574.21,5640.00,5640.00,95.02,1
3.Сопутствующие товары 5%,00177165699040,,ваза зеленая прозрачная,шт,2.00,0.00,0.00,2.00,1887.70,3775.39,4150.00,8300.00,7.90,1
3.Сопутствующие товары 5%,00177165698909,,ваза зеленая волна,шт,2.00,0.00,0.00,2.00,2515.44,5030.88,5510.00,11020.00,95.02,1
3.Сопутствующие товары 5%,00177165698910,,ваза желтая,шт,1.00,0.00,0.00,1.00,1876.28,1876.28,4110.00,4110.00,95.02,1
3.Сопутствующие товары 5%,00177165698853,,ваза для амариллиса BIG,шт,5.00,0.00,0.00,5.00,1873.00,9365.00,3950.00,19750.00,135.88,1
3.Сопутствующие товары 5%,00177165699041,,ваза белая (набор),шт,2.00,0.00,0.00,2.00,1962.32,3924.63,4300.00,8600.00,7.90,1
3.Сопутствующие товары 5%,00177165698953,,Бокс для лун-стоек,шт,43.00,0.00,0.00,43.00,366.67,15766.69,800.00,34400.00,95.02,1
3.Сопутствующие товары 5%,00177165698954,,Бокс для лежачих лун,шт,22.00,0.00,0.00,22.00,455.07,10011.53,1100.00,24200.00,95.02,1
3.Сопутствующие товары 5%/Ваза,00177165698807,,чаша для луковиц амариллиса,шт,1.00,0.00,0.00,1.00,830.00,830.00,1800.00,1800.00,148.43,1
3.Сопутствующие товары 5%/Ваза,00177165698784,,ваза Пузырьки,шт,2.00,0.00,0.00,2.00,830.00,1660.00,1800.00,3600.00,151.31,1
3.Сопутствующие товары 5%/Ваза,00177165698702,,Ваза пластик М 40см,шт,44.00,1.00,0.00,45.00,473.94,21327.34,1050.00,47250.00,7.90,1
3.Сопутствующие товары 5%/Ваза,00177165698765,,ваза пластик 30 см,шт,32.00,0.00,0.00,32.00,347.44,11118.04,770.00,24640.00,16.86,1
3.Сопутствующие товары 5%/Ваза,00177165698782,,ваза Кувшин 2,шт,1.00,0.00,0.00,1.00,1370.00,1370.00,3000.00,3000.00,151.31,1
3.Сопутствующие товары 5%/Ваза,00177165698781,,ваза Кувшин 1,шт,-1.00,0.00,0.00,-1.00,0.00,0.00,2870.00,-2870.00,0.00,1
3.Сопутствующие товары 5%/Ваза,00177165698780,,ваза Кубики,шт,1.00,0.00,0.00,1.00,712.00,712.00,1570.00,1570.00,148.43,1
3.Сопутствующие товары 5%/Ваза,00177165698779,,ваза Коричневая,шт,2.00,0.00,0.00,2.00,2265.00,4530.00,4950.00,9900.00,151.31,2
3.Сопутствующие товары 5%/Ваза,00177165698778,,ваза Корица 2,шт,2.00,0.00,0.00,2.00,2240.00,4480.00,4900.00,9800.00,151.31,2
3.Сопутствующие товары 5%/Ваза,00177165698777,,ваза Корица 1,шт,2.00,0.00,0.00,2.00,2712.00,5424.00,5950.00,11900.00,151.31,2
3.Сопутствующие товары 5%/Ваза,00177165698826,,ваза клубничка,шт,6.00,0.00,0.00,6.00,2041.98,12251.88,4450.00,26700.00,7.90,2
3.Сопутствующие товары 5%/Ваза,00177165698827,,ваза керамика маленькая,шт,1.00,0.00,0.00,1.00,850.00,850.00,1800.00,1800.00,148.43,2
3.Сопутствующие товары 5%/Ваза,00177165698739,,Ваза зеленая,шт,3.00,0.00,0.00,3.00,1443.46,4330.39,4120.00,12360.00,54.74,2
3.Сопутствующие товары 5%/Ваза,00106,,Ваза Волна,шт,2.00,0.00,0.00,2.00,965.00,1930.00,1400.00,2800.00,543.91,2
3.Сопутствующие товары 5%/Ваза,00177165698738,,Ваза бежевая,шт,5.00,0.00,0.00,5.00,794.00,3970.00,1800.00,9000.00,284.94,2
3.Сопутствующие товары 5%/Ваза,00177165698768,,BIG ваза 3,шт,1.00,0.00,0.00,1.00,2600.00,2600.00,5700.00,5700.00,151.31,2
"3.Сопутствующие товары 5%/Кензан , чаша",00086,,Чаша чёрная,шт,2.00,0.00,0.00,2.00,438.00,876.00,1000.00,2000.00,543.91,2
"3.Сопутствующие товары 5%/Кензан , чаша",00177165698642,,Пакет-переноска,шт,30.00,0.00,0.00,30.00,196.67,5900.00,300.00,9000.00,347.59,2
"3.Сопутствующие товары 5%/Кензан , чаша",00093,,Кензан прямоугольный маленький,шт,-1.00,0.00,0.00,-1.00,0.00,0.00,650.00,-650.00,0.00,2
"3.Сопутствующие товары 5%/Кензан , чаша",00094,,Кензан прямоугольный большой,шт,-1.00,0.00,0.00,-1.00,0.00,0.00,860.00,-860.00,0.00,2
"3.Сопутствующие товары 5%/Коробки, корзины",00177165698809,,ящик для фруктов М,шт,1.00,0.00,0.00,1.00,560.00,560.00,1230.00,1230.00,148.43,2
"3.Сопутствующие товары 5%/Коробки, корзины",00177165698808,,ящик для фруктов L,шт,2.00,0.00,0.00,2.00,640.00,1280.00,1300.00,2600.00,148.43,2
"3.Сопутствующие товары 5%/Коробки, корзины",00177165698700,,Плетеная сумка SMALL,шт,7.00,0.00,0.00,7.00,184.25,1289.75,400.00,2800.00,352.92,2
"3.Сопутствующие товары 5%/Коробки, корзины",00177165698699,,Плетеная сумка BIG,шт,2.00,0.00,0.00,2.00,515.00,1030.00,1030.00,2060.00,352.92,2
